timestamp,visual_state,wearable_drowsy,fused_state,cpu_percent,energy_estimate
156.92389178276062,SLEEPY,False,SLEEPY,26.5,521.4540000000004
156.98429107666016,SLEEPY,False,SLEEPY,40.0,521.8540000000004
157.0489535331726,SLEEPY,False,SLEEPY,23.5,522.0890000000004
157.11330676078796,SLEEPY,False,SLEEPY,50.0,522.5890000000004
157.1772620677948,SLEEPY,False,SLEEPY,60.0,523.1890000000004
157.23985981941223,SLEEPY,False,SLEEPY,51.5,523.7040000000004
157.28874039649963,SLEEPY,False,SLEEPY,66.7,524.3710000000004
157.4258255958557,SLEEPY,False,SLEEPY,75.0,525.1210000000004
157.4945421218872,SLEEPY,False,SLEEPY,87.5,525.9960000000004
157.5429220199585,SLEEPY,False,SLEEPY,58.3,526.5790000000004
157.61305737495422,SLEEPY,False,SLEEPY,64.1,527.2200000000004
157.67606663703918,SLEEPY,False,SLEEPY,63.9,527.8590000000004
157.73788809776306,SLEEPY,False,SLEEPY,57.6,528.4350000000004
157.80561685562134,SLEEPY,False,SLEEPY,43.8,528.8730000000004
157.85325956344604,SLEEPY,False,SLEEPY,64.0,529.5130000000004
157.91694855690002,SLEEPY,False,SLEEPY,66.7,530.1800000000004
157.9753086566925,SLEEPY,False,SLEEPY,56.2,530.7420000000004
158.04779839515686,SLEEPY,False,SLEEPY,68.8,531.4300000000004
158.11705446243286,SLEEPY,False,SLEEPY,85.4,532.2840000000004
158.1715748310089,SLEEPY,False,SLEEPY,87.5,533.1590000000004
158.23766207695007,SLEEPY,False,SLEEPY,73.5,533.8940000000005
158.2996382713318,SLEEPY,False,SLEEPY,84.8,534.7420000000004
158.37436056137085,SLEEPY,False,SLEEPY,90.7,535.6490000000005
158.42810153961182,SLEEPY,False,SLEEPY,87.9,536.5280000000005
158.47809052467346,SLEEPY,False,SLEEPY,66.7,537.1950000000005
158.54727602005005,SLEEPY,False,SLEEPY,56.2,537.7570000000005
158.59868264198303,SLEEPY,False,SLEEPY,68.6,538.4430000000006
158.6549108028412,SLEEPY,False,SLEEPY,62.5,539.0680000000006
158.73299551010132,SLEEPY,False,SLEEPY,68.3,539.7510000000005
158.80494499206543,SLEEPY,False,SLEEPY,57.5,540.3260000000006
158.87096786499023,SLEEPY,False,SLEEPY,34.4,540.6700000000006
158.917062997818,SLEEPY,False,SLEEPY,84.0,541.5100000000007
158.99241733551025,SLEEPY,False,SLEEPY,61.0,542.1200000000007
159.0421175956726,SLEEPY,False,SLEEPY,62.5,542.7450000000007
159.09824180603027,SLEEPY,False,SLEEPY,57.6,543.3210000000007
159.1760892868042,SLEEPY,False,SLEEPY,70.7,544.0280000000007
159.2331166267395,SLEEPY,False,SLEEPY,37.5,544.4030000000007
159.29354119300842,SLEEPY,False,SLEEPY,81.2,545.2150000000007
159.35722017288208,SLEEPY,False,SLEEPY,65.6,545.8710000000007
159.40712881088257,SLEEPY,False,SLEEPY,80.0,546.6710000000006
159.48195481300354,SLEEPY,False,SLEEPY,42.9,547.1000000000006
159.54036045074463,SLEEPY,False,SLEEPY,37.5,547.4750000000006
159.61174941062927,SLEEPY,False,SLEEPY,60.0,548.0750000000006
159.66411113739014,SLEEPY,False,SLEEPY,71.9,548.7940000000007
159.73759174346924,SLEEPY,False,SLEEPY,23.5,549.0290000000007
159.78628826141357,SLEEPY,False,SLEEPY,23.3,549.2620000000006
159.86664819717407,SLEEPY,False,SLEEPY,15.0,549.4120000000006
159.93122100830078,SLEEPY,False,SLEEPY,18.2,549.5940000000006
159.9775812625885,SLEEPY,False,SLEEPY,20.8,549.8020000000006
160.04167127609253,SLEEPY,False,SLEEPY,28.1,550.0830000000005
160.11329770088196,SLEEPY,False,SLEEPY,68.3,550.7660000000005
160.16595673561096,SLEEPY,False,SLEEPY,80.8,551.5740000000005
160.22691679000854,SLEEPY,False,SLEEPY,54.3,552.1170000000005
160.30036783218384,SLEEPY,False,SLEEPY,43.8,552.5550000000005
160.35230994224548,SLEEPY,False,SLEEPY,51.5,553.0700000000005
160.4091682434082,SLEEPY,False,SLEEPY,25.0,553.3200000000005
160.48379755020142,SLEEPY,False,SLEEPY,37.5,553.6950000000005
160.5382833480835,SLEEPY,False,SLEEPY,28.1,553.9760000000005
160.5983600616455,SLEEPY,False,SLEEPY,31.2,554.2880000000005
160.82475566864014,SLEEPY,False,SLEEPY,86.6,555.1540000000005
160.93070268630981,SLEEPY,False,SLEEPY,77.2,555.9260000000005
160.97878217697144,SLEEPY,False,SLEEPY,45.8,556.3840000000005
161.05042505264282,SLEEPY,False,SLEEPY,51.4,556.8980000000005
161.10325455665588,SLEEPY,False,SLEEPY,31.0,557.2080000000004
161.1741201877594,SLEEPY,False,SLEEPY,59.4,557.8020000000005
161.22163820266724,SLEEPY,False,SLEEPY,60.0,558.4020000000005
161.30658960342407,SLEEPY,False,SLEEPY,62.0,559.0220000000005
161.35070276260376,SLEEPY,False,SLEEPY,25.0,559.2720000000005
161.41838574409485,SLEEPY,False,SLEEPY,28.1,559.5530000000005
